FromBuilding,ToBuilding,TimeSpare(min),TimePopular(min),SpecialNotes,IsIndoors(Y/N)
Centennial Gate,The University of Hong Kong Visitor Centre,,,,
Centennial Gate,Run Run Shaw Heritage House,,,,
Centennial Gate,Yam Pak Building,,,,
Central Podium Levels (CPD),Cheng Yu Tung Tower,,,,
Central Podium Levels (CPD),Run Run Shaw Tower,,,,
Central Podium Levels (CPD),Chi Wah Learning Commons,,,,
Central Podium Levels (CPD),Lee Shau Kee Lecture Centre,,,,
Cheng Yu Tung Tower,Central Podium Levels (CPD),,,,
Cheng Yu Tung Tower,Run Run Shaw Tower,,,,
Cheng Yu Tung Tower,Chow Yei Ching Building,,,,
Cheng Yu Tung Tower,The Jockey Club Tower,,,,
Cheng Yu Tung Tower,Lui Che Woo Law Library,,,,
Chi Wah Learning Commons,Central Podium Levels (CPD),,,,
Chi Wah Learning Commons,Run Run Shaw Tower,,,,
Chi Wah Learning Commons,Lee Shau Kee Lecture Centre,,,,
Chi Wah Learning Commons,Run Run Shaw Heritage House,,,,
Chong Yuet Ming Amenities Centre,Eliot Hall,,,,
Chong Yuet Ming Amenities Centre,Chong Yuet Ming Physics Building,,,,
Chong Yuet Ming Amenities Centre,K.K. Leung Building,,,,
Chong Yuet Ming Chemistry Building,Chong Yuet Ming Physics Building,,,,
Chong Yuet Ming Fountain,Meng Wah Complex,,,,
Chong Yuet Ming Fountain,Eliot Hall,,,,
Chong Yuet Ming Fountain,Chong Yuet Ming Amenities Centre,,,,
Chong Yuet Ming Physics Building,Chong Yuet Ming Chemistry Building,,,,
Chong Yuet Ming Physics Building,Chong Yuet Ming Amenities Centre,,,,
Chong Yuet Ming Physics Building,K.K. Leung Building,,,,
Chow Yei Ching Building,Cheng Yu Tung Tower,,,,
Chow Yei Ching Building,The Jockey Club Tower,,,,
Chow Yei Ching Building,Simon K.Y. Lee Hall,,,,
Composite Building,Haking Wong Building,,,,
Composite Building,Simon K.Y. Lee Hall,,,,
Composite Building,The Jockey Club Tower,,,,
Eliot Hall,May Hall,,,,
Eliot Hall,Chong Yuet Ming Fountain,,,,
Eliot Hall,Chong Yuet Ming Amenities Centre,,,,
Eliot Hall,Meng Wah Complex,,,,
Fong Shu Chuen Amenities Centre,Swire Hall,,,,
Fong Shu Chuen Amenities Centre,Global Lounge,,,,
Fong Shu Chuen Amenities Centre,T.T. Tsui Building,,,,
Fung Ping Shan Building,T.T. Tsui Building,,,,
Fung Ping Shan Building,Knowles Building,,,,
Global Lounge,Fong Shu Chuen Amenities Centre,,,,
Global Lounge,Swire Hall,,,,
Graduate House,The Jockey Club Building,,,,
Graduate House,Robert Black College,,,,
Graduate House,University Lodge,,,,
Haking Wong Building,Composite Building,,,,
Haking Wong Building,Kadoorie Biological Sciences Building,,,,
Hui Oi Chow Science Building,James Hsioung Lee Science Building,,,,
Hui Oi Chow Science Building,Run Run Shaw Building,,,,
Hui Oi Chow Science Building,Rayson Huang Theatre,,,,
Hung Hing Ying Building,Main Building,,,,
Hung Hing Ying Building,Loke Yew Hall,,,,
Hung Hing Ying Building,Pao Siu Loong Building,,,,
James Hsioung Lee Science Building,Hui Oi Chow Science Building,,,,
K.K. Leung Building,Chong Yuet Ming Amenities Centre,,,,
K.K. Leung Building,Chong Yuet Ming Physics Building,,,,
K.K. Leung Building,Tang Chi Ngong Building,,,,
Kadoorie Biological Sciences Building,Haking Wong Building,,,,
Kadoorie Biological Sciences Building,Pao Siu Loong Building,,,,
Knowles Building,Fung Ping Shan Building,,,,
Knowles Building,Lily Pond,,,,
Lee Shau Kee Lecture Centre,Central Podium Levels (CPD),,,,
Lee Shau Kee Lecture Centre,Chi Wah Learning Commons,,,,
Lee Shau Kee Lecture Centre,Run Run Shaw Tower,,,,
Lee Shau Kee Lecture Centre,Run Run Shaw Heritage House,,,,
Library Building (New Wing),Library Building (Old Wing),,,,
Library Building (New Wing),Yu Chun Keung Tam Shuk Yin Learning Centre,,,,
Library Building (Old Wing),Library Building (New Wing),,,,
Library Building (Old Wing),Sun Yat-sen Place,,,,
Library Building (Old Wing),Yu Chun Keung Tam Shuk Yin Learning Centre,,,,
Library Building (Old Wing),Yu Chun Keung Tam Shuk Yin Lecture Theatre,,,,
Lily Pond,Knowles Building,,,,
Lily Pond,Sun Yat-sen Steps,,,,
Loke Yew Hall,Main Building,,,,
Loke Yew Hall,Hung Hing Ying Building,,,,
Lui Che Woo Law Library,Cheng Yu Tung Tower,,,,
Main Building,Hung Hing Ying Building,,,,
Main Building,Loke Yew Hall,,,,
Main Building,Library Building (Old Wing),,,,
May Hall,Eliot Hall,,,,
May Hall,Meng Wah Complex,,,,
Meng Wah Complex,May Hall,,,,
Meng Wah Complex,Eliot Hall,,,,
Meng Wah Complex,Chong Yuet Ming Fountain,,,,
Meng Wah Complex,Runme Shaw Building,,,,
Pao Siu Loong Building,Hung Hing Ying Building,,,,
Pao Siu Loong Building,Kadoorie Biological Sciences Building,,,,
Rayson Huang Theatre,Hui Oi Chow Science Building,,,,
Rayson Huang Theatre,Run Run Shaw Building,,,,
Rayson Huang Theatre,Runme Shaw Building,,,,
Robert Black College,Graduate House,,,,
Robert Black College,University Lodge,,,,
Robert Black College,University Drive No. 2,,,,
Run Run Shaw Building,Hui Oi Chow Science Building,,,,
Run Run Shaw Building,Rayson Huang Theatre,,,,
Run Run Shaw Building,Runme Shaw Building,,,,
Run Run Shaw Heritage House,Chi Wah Learning Commons,,,,
Run Run Shaw Heritage House,Lee Shau Kee Lecture Centre,,,,
Run Run Shaw Heritage House,The University of Hong Kong Visitor Centre,,,,
Run Run Shaw Tower,Central Podium Levels (CPD),,,,
Run Run Shaw Tower,Cheng Yu Tung Tower,,,,
Run Run Shaw Tower,Chi Wah Learning Commons,,,,
Run Run Shaw Tower,Lee Shau Kee Lecture Centre,,,,
Runme Shaw Building,Meng Wah Complex,,,,
Runme Shaw Building,Rayson Huang Theatre,,,,
